groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName,,(<-이 열은 건드리면 안됨. 이름 바뀌면 다죽습니다... 이 괄호랑 메모는 필요없으니 import 전 삭제)
2-2-Main,,"""표정은 그대로인데, 그 말 한 마디에서 이상하게 진심이 느껴졌다.""",FALSE,,None,,,,,,,
2-2-Main,,"""얼굴로 감정을 표현하진 않지만, 나름대로 위로를 건넨 것 같다.""",FALSE,,None,,,,,,,
2-2-Main,,"""이 사람... 생각보다 따뜻한 면이 있네.""",TRUE,"""반성한다|2-2-1|6|정우진|False;한 번만 봐달라고 한다|2-2-2|0|정우진|False;인사하고 나간다|2-2-3|2|정우진|False""",None,,,,,,,
2-2-1,여주,감사합니다... 다음부터는 꼼꼼히 확인하고 제출할게요.,FALSE,,None,,,,,,,
2-2-1,정우진,...수고했어요. 이거 하나 가져가요.,FALSE,,None,,,,,smile,,
2-2-1,,"""조교님이 미니 냉장고를 열더니, 에너지 음료를 꺼내 내밀었다.""",FALSE,,None,,,,,,,
2-2-1,,어? 교수님 냉장고 아니야?,FALSE,,None,,,,,,,
2-2-1,,"""저렇게 막 꺼내도 되는 건가?\n그리고 그걸 나 줘도 되는 거야?""",FALSE,,None,,,,,,,
2-2-1,,괜찮은건가...,TRUE,"""받는다|2-2-1-1|1|정우진|False;안 받는다|2-2-1-2|1|정우진|False""",None,,,,,,,
2-2-1-1,,그래도 주신다는데 안 받으면 좀 그렇겠지?,FALSE,,None,,,,2-2-1-3,,,
2-2-1-1,정우진,먹고 힘내요.,FALSE,,None,,,,,smile,,
2-2-1-1,여주,감사합니다. 잘 마실게요. 다음에 뵙겠습니다.,FALSE,,None,,,,,,,
2-2-1-1,정우진,네.,FALSE,,None,,,,,smile,,
2-2-1-2,여주,아... 제가 에너지 음료를 별로 안 좋아해서요.,FALSE,,None,,,,2-2-1-3,,,
2-2-1-2,,우진은 병을 내려 놓더니 책상 구석에 있는 통을 열었다.,FALSE,,None,,,,,,,
2-2-1-2,정우진,초콜릿도 안 좋아해요? 이거 다크 초콜릿이라 안 단데.,FALSE,,None,,,,,smile,,
2-2-1-2,여주,그럼 먹을게요.,FALSE,,None,,,,,,,
2-2-1-2,정우진,먹고 힘내요.,FALSE,,None,,,,,smile,,
2-2-1-2,,이런 것도 챙겨주는 사람이구나.,FALSE,,None,,,,,,,
2-2-1-2,여주,다음에 뵙겠습니다.,FALSE,,None,,,,,,,
2-2-1-2,정우진,네.,FALSE,,None,,,,,smile,,
2-2-1-3,,문을 닫고 나왔다.,FALSE,,None,,,,2-3-Main,,,
2-2-1-3,,다음에 뵙겠습니다?,FALSE,,None,,,,,,,
2-2-1-3,,내가 왜 저런 말을 한 거지?,FALSE,,None,,,,,,,
2-2-1-3,,...내 이름 기억 못 하겠지?,FALSE,,None,,,,,,,
2-2-1-3,,이상하게 불안한 기분이 들었다.,FALSE,,None,,,,,,,
2-2-1-3,,연락처를 확인해 보자!,FALSE,,None,,,,,SaveContact_Woojin,,
2-2-2,여주,한 번만 봐주시면 안 될까요...? 지각 제출은 정말 안 받으시는 건가요?,FALSE,,None,,,,2-3-Main,,,
2-2-2,,남자의 표정이 갑자기 굳어졌다.,FALSE,,None,,,,,,,
2-2-2,,아까보다 더 차갑고 무표정한 얼굴이었다.,FALSE,,None,,,,,,,
2-2-2,정우진,네. 지각 제출은 따로 안 받습니다.,FALSE,,None,,,,,smile,,
2-2-2,,안 되는 걸 알면서도... 이렇게 면전에서 거절당하니 기분이 꽤 씁쓸했다.,FALSE,,None,,,,,,,
2-2-2,여주,알겠습니다. 감사합니다...,FALSE,,None,,,,,,,
2-2-2,정우진,네.,FALSE,,None,,,,,smile,,
2-2-2,,문을 닫고 나왔다.,FALSE,,None,,,,,,,
2-2-2,,"""...하.\n앞으로는 정말 열심히 해야겠다.""",FALSE,,None,,,,,,,
2-2-2,,괜히 울적해졌다.,FALSE,,None,,,,,,,
2-2-2,,연락처를 확인해 보자!,FALSE,,None,,,,,SaveContact_Woojin,,
2-2-3,여주,감사합니다. 다음에 뵙겠습니다.,FALSE,,None,,,,2-3-Main,,,
2-2-3,정우진,네.,FALSE,,None,,,,,smile,,
2-2-3,,문을 닫고 나왔다.,FALSE,,None,,,,,,,
2-2-3,,음..?,FALSE,,None,,,,,,,
2-2-3,,다음에 뵙겠습니다?,FALSE,,None,,,,,,,
2-2-3,,내가 왜 그런 말을 한 거지?,FALSE,,None,,,,,,,
2-2-3,,...내 이름 기억 못 하겠지?,FALSE,,None,,,,,,,
2-2-3,,이상하게 불안한 기분이 들었다.,FALSE,,None,,,,,,,
2-2-3,,연락처를 확인해 보자!,FALSE,,None,,,,,SaveContact_Woojin,,
2-3-Main,,,,,,,,,,Start2-3,,
2-3-Main,,전공 수업을 들으러 왔다.,FALSE,,None,,,,,,,
2-3-Main,,저번에 과제를 말아먹은 그 과목..!,FALSE,,None,,,,,,,
2-3-Main,,"""그걸 만회하려면 시험을 잘 봐야 하니까, 수업도 열심히 들어야겠지.""",FALSE,,None,,,,,,,
2-3-Main,,"""강의실 문이 열리고, 교수님...이 아니라 지난번 연구실에서 뵀던 조교님이 들어오셨다.""",FALSE,,None,,,,,,,
2-3-Main,,노트북을 몇 번 건드리시더니 또 나가신다. 이런 것도 조교 시키나?,FALSE,,None,,,,,,,
