groupId,speaker,line,hasChoices,choices,conditionType,conditionType,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName,,
4-2-1-2-1,,아무래도 잘못된 선택이었던 것 같다…,,,,,,,,,,
4-2-1-2-2,여주,아니? 너한테 관심 같은 거 없는데?,,,,,,,backto4-2-1-2,,,
4-2-1-2-2,루카,그렇게까지 말하시면 좀 서운한데요.,,,,,,,,,,
4-2-1-2-2,여주,성가신 타입이네.,,,,,,,,,,
4-2-1-2-2,,대답이 없… 다?,,,,,,,,,,
4-2-1-2-2,,"“설마 진심으로 서운해하는 건 아니겠지? 뭐, 엄청 친한 사이도 아닌데”",,,,,,,,,,
4-2-1-2-2,,표정을 한번 살펴본다.,,,,,,,,,,
4-2-1-2-2,,??,,,,,,,,,,
4-2-1-2-2,,"이런 거로 서운해한다고? 알다가도 모르겠네, 얘는…",,,,,,,,,,
4-2-1-2-2,여주,표정 풀어... 당연히 관심이 있으니까 하는 말이지.,,,,,,,,,,
4-2-1-2-2,루카,…,,,,,,,,,,
4-2-1-2-2,여주,물론 솔직한 편이 보기는 좋아!,,,,,,,,,,
4-2-1-2-2,루카,보기 좋으면 뭐 하시게요.,,,,,,,,,,
4-2-1-2-2,여주,뭘… 해야 해? 그냥 보기 좋다고.,,,,,,,,,,
4-2-1-2-2,루카,예. 참고하도록 하죠.,,,,,,,,,,
4-2-1-2-2,여주,그래…,,,,,,,,,,
4-2-1-2-3,여주,그럼 이제부터 알아둬.,,,,,,,backto4-2-1-2,,,
4-2-1-2-3,루카,… 이유나 들어보죠.,,,,,,,,,,
4-2-1-2-3,여주,잘생겨서.,,,,,,,,,,
4-2-1-2-3,루카,네. 관심 정말 감사하네요.,,,,,,,,,,
4-2-1-2-3,여주,물론 얼굴 말고도 뭐… 네 성격이라든가?,,,,,,,,,,
4-2-1-2-3,,물론 반어법이다…,,,,,,,,,,
4-2-1-2-3,루카,칭찬으로 듣도록 하죠.,,,,,,,,,,
backto4-2-1-2,,그러는 사이 프린터 실에 도착했다.,,,,,,,4-3,,,
backto4-2-1-2,,무사히 과제 출력을 마치고 보니 곧 수업 시간이었다.,,,,,,,,,,
backto4-2-1-2,여주,오늘 고마웠어! 내가 이제 수업이 있어서 가봐야 하거든?,,,,,,,,,,
backto4-2-1-2,여주,다음에 밥이든 커피든 사줄게!!,,,,,,,,,,
backto4-2-1-2,루카,"“네, 기대하죠.”",,,,,,,,,,
backto4-2-1-2,,리포트를 소중히 품에 안고 강의실로 향했다.,,,,,,,,,,
04-2-2,,근처 프린터 있는 곳이 어디였지?,,,,,,,,,,
04-2-2,,"“1층 라운지 근처에 뭔가 있다고 들었던 것 같기도 한데, 일단 검색을 해보자”",,,,,,,,,,
04-2-2,,"“급히 핸드폰을 꺼내고 허둥지둥 움직이려는 찰나, 누군가가 나를 불렀다.”",,,,,,,,,,
04-2-2,강세하,"“안녕, [여주].”",,,,,,,,,,
04-2-2,강세하,여기서 뭐 해?,,,,,,,,,,
04-2-2,여주,"“어? 아, 오빠. 나 과제 제출 때문에 출력해야 해서 /n근처에 프린터 있는 곳 찾고 있었어.”",,,,,,,,,,
04-2-2,강세하,급한 거야? 가장 가까운 곳도 여기선 조금 거리 있을 텐데.,,,,,,,,,,
04-2-2,,망했다. 커피 시켜놓은 게 있어서 받고 프린트하러 가면 무조건 늦을 것 같은데.,,,,,,,,,,
04-2-2,,1초 늦는 것도 칼같이 지각 처리하는 교수님인데 어쩌지?,,,,,,,,,,
04-2-2,,이 1교시 때문에 내가 오늘 아침에 얼마나 일찍 일어났는데!!,,,,,,,,,,
04-2-2,여주,"“그, 1교시 수업이긴 한데 지금 갔다 와도 늦지 않긴 해.”",,,,,,,,,,
04-2-2,여주,문제는 내가 커피를 시켜놔서 이걸 받고 다녀오면…,,,,,,,,,,
04-2-2,강세하,그럼 내가 대신 해줄까?,,,,,,,,,,
04-2-2,여주,"“응? 아냐. 그러기엔 너무 미안한데,”",,,,,,,,,,
04-2-2,강세하,미안하면 나 아이스티 한 잔만 사줘. 어차피 나는 지금 한가해.,,,,,,,,,,
04-2-2,여주,아이스티로 돼? 좀 더 비싼 거 시켜.,,,,,,,,,,
04-2-2,강세하,"“여름이었으면 수박 주스 마셨을 텐데, 지금은 시즌이 아니니까.”",,,,,,,,,,
04-2-2,여주,"“… 한잔은 무슨, 열 잔도 사줄 수 있어.”",,,,,,,,,,
04-2-2,여주,"“고마워, 진짜.”",,,,,,,,,,
04-2-2,강세하,파일 보내놔. 프린트하고 갖다줄게.,,,,,,,,,,
04-2-2,,,,,,,,,,,,
04-2-2,강세하,[여주야]! 여기 프린트.,,,,,,,,,,
04-2-2,여주,"“헐, 대박. 시간 딱 맞네. 와, 진짜 고마워 오빠.”",,,,,,,,,,
04-2-2,강세하,아이스티는 잘 마실게. 슬슬 들어가야 하는 거 아니야?,,,,,,,,,,
04-2-2,여주,"“응. 진짜 고마워, 나중에 꼭 밥 살게!”",,,,,,,,,,
04-2-2,,리포트를 소중히 품에 안고 강의실로 향했다.,,,,,,,,,,
4-3,,드디어 제일 중요한 전공과목의 중간고사 날이다. ,,,,,,,,,,
4-3,,"“가장 열심히 준비한 과목인 만큼, 긴장도 많이 됐다.”",,,,,,,,,,
4-3,,강의실에 들어오니 다들 뒷자리에 앉겠다고 눈치 보며 서성거린다.,,,,,,,,,,
4-3,,자리 어디 앉는 게 뭐 그렇게 중요하다고 시험 전부터 왜 이리 정신이 없는 건지…,,,,,,,,,,
4-3,,"“앉을 자리를 찾던 도중, 눈에 익은 얼굴이 보여 그쪽으로 다가가 본다.”",TRUE,“은성이|04-3-1|3|이은성;세하 오빠|04-3-2;”,,,,,,,,
04-3-1,여주,"혹시, 옆에 자리 비어 있어?",,,,,,,,,,
04-3-1,이은성,"“응, 비었어. 앉아도 돼!”",,,,,,,,,,
04-3-1,,은성이가 중간에 놓아두었던 가방을 슬쩍 치워주며 앉으라고 한다.,,,,,,,,,,
04-3-1,여주,고마워.,,,,,,,,,,
04-3-1,이은성,공부 많이 했어?,,,,,,,,,,
04-3-1,여주,응. 이 과목 공부를 제일 열심히 했어.,,,,,,,,,,
04-3-1,여주,넌 공부 좀 했어?,,,,,,,,,,
04-3-1,이은성,음…,,,,,,,,,,
04-3-1,이은성,하긴 했지.,,,,,,,,,,
04-3-1,이은성,한 3주 차까지?,,,,,,,,,,
04-3-1,여주,그게 뭐야.,,,,,,,,,,
04-3-1,이은성,4주 차부터는 수업 내내 졸았더니…,,,,,,,,,,
04-3-1,이은성,잘 모르겠어서.,,,,,,,,,,
04-3-1,,은성이는 민망한 듯 웃는다. ,,,,,,,,,,
04-3-1,,… 내가 필기한 거라도 보여줄까?,,,,,,,,,,
04-3-1,,혹시 몰라서 프린트해 오긴 했는데.,TRUE,“보여준다|4-3-1-1|3|이은성;보여주지 않는다|4-3-1-2;”,,,,,,,,
4-3-1-1,여주,이거라도 볼래?,,,,,,,,,,
4-3-1-1,여주,내가 필기했던 거 프린트해 온 거야.,,,,,,,,,,
4-3-1-1,이은성,[여주이] 너 되게 준비성 좋다…,,,,,,,,,,
4-3-1-1,이은성,그럼 빨리 보고 돌려줄게!,,,,,,,,,,
4-3-1-1,,은성이는 종이를 받아 들더니 빠르게 읽기 시작했다.,,,,,,,,,,
4-3-1-1,,나도 그럼 이제 공부해야지.,,,,,,,,,,
4-3-1-1,,,,,,,,,,,,
4-3-1-1,,시험 끝.,,,,,,,,,,
4-3-1-1,,드디어 시험이 끝났다!,,,,,,,,,,
4-3-1-1,,공부한 만큼 나오면 좋겠는데… 중간고사도 끝난 기념으로 주은이한테 놀러 가자고 해볼까?,,,,,,,,,,
4-3-1-1,,,,,,,,,,,,
4-3-1-1,,"“주은이에게 연락하려고 휴대폰을 켜자, 은성이에게서 온 메시지가 알림창에 떴다.",,,,,,,,,,
4-3-1-1,이은성,덕분에 시험 잘 봤어 ^0^,,,,,,,,,,
4-3-1-1,이은성,(커피 쿠폰을 보냈다.),,,,,,,,,,
4-3-1-1,이은성,이건 전부터 고마워서 ㅎㅎ 다음에 봐 [여주야]!,,,,,,,,,,
4-3-1-1,여주,ㅇ^^ㅇ,,,,,,,,,,
4-3-1-1,,나름 귀여운 이모티콘으로 답장을 보냈다.,,,,,,,,,,
4-3-1-1,,이제 주은이한테 연락해야지.,,,,,,,,,,
4-3-1-2,,근데 잘못 적은 거 있을지도 모르고… ,,,,,,,,,,
4-3-1-2,,그냥 주지 말아야겠다…,,,,,,,,,,
4-3-1-2,여주,너 잠이 되게 많나 보네.,,,,,,,,,,
4-3-1-2,여주,저번에 지각한 것도 늦잠 잔 거 아니야?,,,,,,,,,,
4-3-1-2,이은성,응… 맞아.,,,,,,,,,,
4-3-1-2,이은성,나 교양에서도 엄청 졸지?,,,,,,,,,,
4-3-1-2,여주,그 시간에는 나도 엄청 졸아.,,,,,,,,,,
4-3-1-2,여주,우리 나란히 앉아서 졸고 있는 거 보고 계실 교수님께는 죄송하지만…,,,,,,,,,,
4-3-1-2,여주,1교시인데 뭐.,,,,,,,,,,
4-3-1-2,이은성,"“아, 이따 시험 끝나면 뭐 해?”",,,,,,,,,,
4-3-1-2,이은성,같이 밥 먹을래?,TRUE,“바쁘다고 한다|4-3-1-2-1;좋다고 한다|4-3-1-2-2|3|이은성;”,,,,,,,,
4-3-1-2-1,,끝나고 주은이랑 놀러 가기로 했었다.,,,,,,,backto4-3,,,
4-3-1-2-1,여주,"“끝나도 약속 있어서, 다음에 먹자!”",,,,,,,,,,
4-3-1-2-1,이은성,"“응, 알겠어!”",,,,,,,,,,
4-3-1-2-1,이은성,그럼 시험 잘 봐!,,,,,,,,,,
4-3-1-2-1,,시계를 보니 곧 시험 시작 시간이 다가온다.,,,,,,,,,,
4-3-1-2-1,,주변을 보니 다들 조용히 공부하고 있기도 하고… 눈치 보이니 여기까지만 대화해야겠다.,,,,,,,,,,
4-3-1-2-1,,은성이도 그걸 느꼈는지 대화를 멈추고 자리를 정리한다.,,,,,,,,,,
4-3-1-2-1,,,,,,,,,,,,
4-3-1-2-1,,드디어 시험 끝이다!,,,,,,,,,,
4-3-1-2-1,,이제 주은이한테 연락해야지.,,,,,,,,,,
4-3-1-2-2,,"“어차피 끝나고 할 것도 없고, 오늘따라 혼자 밥 먹기도 싫으니까 같이 밥 먹어야지.”",,,,,,,backto4-3,,,
4-3-1-2-2,여주,좋아!,,,,,,,,,,
4-3-1-2-2,이은성,"“그래, 먼저 끝나면 기다릴게.”",,,,,,,,,,
4-3-1-2-2,이은성,시험 잘 봐!,,,,,,,,,,
4-3-1-2-2,,시계를 보니 곧 시험 시작이 다가온다.,,,,,,,,,,
4-3-1-2-2,,주변을 보니 다들 조용히 공부하고 있기도 하고… 눈치 보이니 여기까지만 대화해야겠다.,,,,,,,,,,
4-3-1-2-2,,은성도 그걸 느꼈는지 대화를 멈추고 자리를 정리한다.,,,,,,,,,,
4-3-1-2-2,,,,,,,,,,,,
4-3-1-2-2,,드디어 시험 끝이다!,,,,,,,,,,
4-3-1-2-2,,은성이 나왔으려나? 연락해 봐야지.,,,,,,,,,,
4-3-1-2-2,여주,"“은성아, 끝났어?”",,,,,,,,,,
4-3-1-2-2,이은성,"“응, 너 기다리는 중이야.”",,,,,,,,,,
4-3-1-2-2,여주,어딨어?,,,,,,,,,,
4-3-1-2-2,,…,,,,,,,,,,
4-3-1-2-2,이은성,네 뒤에.,,,,,,,,,,
4-3-1-2-2,,은성이가 어디선가 튀어나와 내 뒤에 와 있었다.,,,,,,,,,,
4-3-1-2-2,여주,"“뭐야, 언제 왔어.”",,,,,,,,,,
4-3-1-2-2,이은성,너 나오는 거 보고.,,,,,,,,,,
04-3-2,여주,혹시 옆에 자리 비어 있어?,,,,,,,,,,
04-3-2,강세하,"“어, 비어 있어. 앉아.”",,,,,,,,,,
04-3-2,,시험이 끝난 것도 아닌데 주위가 어수선하다.,,,,,,,,,,
04-3-2,,"“주변 사람들이랑 떠드는 사람도 있고, 시험 시작 직전인데 자는 사람도 있고…”",,,,,,,,,,
04-3-2,,그 와중에 책 펼쳐서 열심히 공부하는 사람도 있긴 하다.,,,,,,,,,,
04-3-2,여주,공부 많이 했어?,,,,,,,,,,
04-3-2,강세하,나름. 너는?,TRUE,“긴장한 티를 낸다|4-3-2-1;여유를 부린다|4-3-2-2;”,,,,,,,,
4-3-2-1,여주,어제 개강해서… 자신은 없네.,,,,,,,backto4-3-2,,,
4-3-2-1,강세하,시험 보면 알겠지.,,,,,,,,,,
4-3-2-1,여주,오빠 공부 열심히 했나 봐? 평소에 열심히 할 것 같진 않았는데.,,,,,,,,,,
4-3-2-1,강세하,"“열심히 하는 건 아닌데, 안 하면 찝찝하잖아.”",,,,,,,,,,
4-3-2-1,강세하,그래서 어제는 좀 했다.,,,,,,,,,,
4-3-2-1,여주,어제 좀 한 걸로 되는 과목이면 좋겠네…,,,,,,,,,,
4-3-2-2,여주,나? 진지하게 여기 다 내가 발라.,,,,,,,backto4-3-2,,,
4-3-2-2,강세하,"“오, 자신 있나 보네?”",,,,,,,,,,
4-3-2-2,여주,사실 그 정도까진 아니고…,,,,,,,,,,
4-3-2-2,여주,좀 열심히 준비하긴 했어.,,,,,,,,,,
4-3-2-2,강세하,그래도 너라면 잘 볼 것 같아.,,,,,,,,,,
backto4-3-2,강세하,시험 끝나고 뭐해?,,,,,,,backto4-3,,,
backto4-3-2,여주,"“글쎄, 바로 집 가려나. 왜?”",,,,,,,,,,
backto4-3-2,강세하,나 매운 거 땡기는데… 떡볶이 먹으러 갈래?,,,,,,,,,,
backto4-3-2,여주,매운 거? 갑자기?,,,,,,,,,,
backto4-3-2,강세하,원래 스트레스받으면 매운 거로 풀어야 하잖아.,,,,,,,,,,
backto4-3-2,여주,얼마나 매운 거?,,,,,,,,,,
backto4-3-2,강세하,음… 적당히?,,,,,,,,,,
backto4-3-2,여주,음. 아예 완전 매운 거로 먹을래?,,,,,,,,,,
backto4-3-2,강세하,… 너 매운 거 그렇게 잘 먹어?,,,,,,,,,,
backto4-3-2,여주,완전. 매운맛 없으면 인생 재미없어.,,,,,,,,,,
backto4-3-2,,…,,,,,,,,,,
backto4-3-2,강세하,[여주].,,,,,,,,,,
backto4-3-2,여주,응?,,,,,,,,,,
backto4-3-2,강세하,시험 잘 봐. 긴장하지 말고.,,,,,,,,,,
backto4-3-2,여주,"“응, 고마워. 오빠도 시험 잘 봐.”",,,,,,,,,,
backto4-3,,"“시험도 끝났고, 뭔가 조금은 마무리된 기분이다.”",,,,,,,,,,
